tree,link_mbps,cpp_score,python_score,delta,error_pct
1x,2.4,-4.8929,-4.8479,0.0450,0.9
1x,3.8,-3.2266,-2.7675,0.4591,14.2
1x,6.0,-1.9520,-1.6070,0.3450,17.7
1x,9.5,-1.1565,-0.3870,0.7694,66.5
1x,15.0,-0.7819,0.8463,1.6282,208.2
1x,23.8,-1.5862,0.5283,2.1145,133.3
1x,37.7,-2.5099,-0.6137,1.8963,75.6
1x,59.8,-3.8310,-1.7373,2.0937,54.7
1x,94.9,-5.1657,-2.9774,2.1882,42.4
10x,2.4,-3.6739,-3.8770,-0.2031,-5.5
10x,3.8,-1.9353,-1.4057,0.5296,27.4
10x,6.0,-1.3235,-0.3205,1.0030,75.8
10x,9.5,-1.5182,0.7254,2.2436,147.8
10x,15.0,-1.0633,0.8465,1.9098,179.6
10x,23.8,-1.4207,0.7226,2.1434,150.9
10x,37.7,-1.1864,1.2042,2.3906,201.5
10x,59.8,-1.9298,0.3879,2.3177,120.1
10x,94.9,-2.8903,-0.4704,2.4199,83.7
20x,2.4,-8.2395,-7.9058,0.3337,4.0
20x,3.8,-3.9705,-3.3086,0.6619,16.7
20x,6.0,-2.2723,-1.1934,1.0789,47.5
20x,9.5,-1.7631,-0.0238,1.7393,98.6
20x,15.0,-1.3628,0.5571,1.9199,140.9
20x,23.8,-1.0542,1.0266,2.0809,197.4
20x,37.7,-1.2785,0.8821,2.1607,169.0
20x,59.8,-1.7816,0.4312,2.2127,124.2
20x,94.9,-3.0684,-0.7972,2.2713,74.0
100x,2.4,-1.9871,-1.4663,0.5208,26.2
100x,3.8,-1.0985,-0.2659,0.8326,75.8
100x,6.0,-0.9551,0.4784,1.4336,150.1
100x,9.5,-0.8428,1.0021,1.8449,218.9
100x,15.0,-1.0678,-0.1505,0.9173,85.9
100x,23.8,-1.1273,-0.1180,1.0094,89.5
100x,37.7,-1.2259,0.1902,1.4162,115.5
100x,59.8,-1.0647,0.6868,1.7515,164.5
100x,94.9,-1.0006,1.1391,2.1397,213.8
