link_ppt,normalized_score_raw,s1_tp_ratio,s1_delay_ratio,s2_tp_ratio,s2_delay_ratio
0.1000000000,-3.956493,0.439232,1.719272,0.427353,1.715827
0.1073030941,-3.966322,0.420359,1.669740,0.436495,1.688945
0.1151395399,-4.023776,0.431564,1.685032,0.395695,1.679545
0.1235482888,-4.092947,0.427765,1.724311,0.398042,1.708698
0.1325711366,-4.182478,0.399118,1.714866,0.394343,1.718643
0.1422529313,-4.154702,0.383016,1.655567,0.382203,1.647981
0.1526417967,-4.230943,0.366470,1.638304,0.369719,1.634971
0.1637893707,-4.262459,0.375363,1.623710,0.361920,1.630543
0.1757510625,-4.301199,0.360996,1.576719,0.377579,1.584225
0.1885863279,-4.276824,0.356788,1.531135,0.357556,1.530184
0.2023589648,-4.241395,0.352956,1.505892,0.334238,1.510271
0.2171374303,-3.058297,0.460694,1.428959,0.527408,1.419396
0.2329951811,-4.213481,0.360985,1.445546,0.317115,1.461748
0.2500110383,-2.837699,0.496280,1.384912,0.496209,1.372370
0.2682695795,-3.470963,0.438494,1.391132,0.417068,1.394498
0.2878615592,-3.282566,0.436468,1.373048,0.441907,1.390452
0.3088843596,-3.139106,0.433794,1.343813,0.425721,1.351677
0.3314424749,-3.050732,0.472763,1.322122,0.465167,1.322793
0.3556480306,-2.432570,0.534295,1.304739,0.548093,1.325462
0.3816213408,-2.394952,0.550884,1.270727,0.561242,1.277017
0.4094915062,-2.337573,0.538617,1.240080,0.590295,1.245046
0.4393970561,-2.325261,0.540845,1.214468,0.523531,1.209479
0.4714866363,-2.292530,0.545758,1.189820,0.541693,1.189046
0.5059197488,-2.357145,0.523861,1.189514,0.517744,1.194586
0.5428675439,-2.352598,0.518934,1.163772,0.550514,1.170967
0.5825136712,-2.339412,0.556642,1.167536,0.512176,1.170342
0.6250551925,-2.338672,0.524760,1.154107,0.520848,1.136539
0.6707035611,-2.418089,0.493476,1.129110,0.500427,1.132605
0.7196856730,-2.441944,0.473767,1.113183,0.443021,1.120466
0.7722449946,-2.408232,0.470770,1.110482,0.495031,1.112776
0.8286427729,-2.471869,0.482776,1.111229,0.456050,1.105800
0.8891593339,-2.475053,0.477383,1.101802,0.481866,1.104351
0.9540954763,-2.529135,0.434286,1.085474,0.475043,1.087054
1.0237739663,-2.607797,0.446684,1.079054,0.458592,1.071226
1.0985411420,-2.726982,0.410883,1.053799,0.402300,1.050001
1.1787686348,-2.737595,0.408112,1.070773,0.437262,1.058925
1.2648552169,-2.939442,0.369186,1.044417,0.391049,1.048286
1.3572287830,-3.048938,0.350767,1.029284,0.336691,1.032133
1.4563484775,-3.145266,0.371283,1.044231,0.351719,1.040502
1.5627069765,-3.252002,0.349043,1.030502,0.364760,1.039875
1.6768329368,-3.426323,0.312942,1.027848,0.309771,1.027994
1.7992936233,-3.560015,0.288585,1.019958,0.305682,1.034169
1.9306977289,-3.752097,0.294788,1.033819,0.275320,1.030043
2.0716983999,-3.928281,0.268252,1.016549,0.234520,1.009533
2.2229964825,-4.104496,0.255511,1.024750,0.267708,1.022833
2.3853440064,-4.338370,0.223659,1.010349,0.223528,1.006193
2.5595479227,-4.535074,0.233485,1.018357,0.208821,1.008869
2.7464741148,-4.654890,0.209587,1.014969,0.198724,1.010045
2.9470517026,-4.941272,0.196450,1.020168,0.187020,1.016569
3.1622776602,-5.069798,0.193760,1.013030,0.156947,1.002268
3.3932217719,-5.203394,0.145799,1.003780,0.150951,1.003885
3.6410319493,-5.503549,0.156711,1.012874,0.155689,1.002279
3.9069399371,-5.642740,0.148275,1.007586,0.152037,1.005419
4.1922674352,-5.771448,0.131133,1.002141,0.130741,1.006695
4.4984326690,-6.013688,0.113499,1.001519,0.118259,1.001610
4.8269574377,-6.174293,0.102489,1.001412,0.112402,1.001452
5.1794746792,-6.526301,0.112854,1.001344,0.108252,1.003141
5.5577365865,-6.717294,0.095500,1.001217,0.089178,1.001218
5.9636233166,-6.845588,0.085131,1.001148,0.092501,1.001145
6.3991523363,-7.013275,0.082815,1.001062,0.095025,1.001058
6.8664884500,-7.182622,0.075853,1.000988,0.086276,1.000984
7.3679545597,-7.480536,0.072307,1.000920,0.073680,1.000919
7.9060432109,-7.642275,0.074559,1.000853,0.064634,1.000855
8.4834289824,-7.798905,0.055830,1.000794,0.064537,1.000793
9.1029817799,-8.151267,0.063039,1.000743,0.065976,1.001152
9.7677811009,-8.231968,0.060664,1.000689,0.057564,1.000689
10.4811313415,-8.403921,0.053872,1.000643,0.052947,1.000642
11.2465782212,-8.651919,0.051390,1.000598,0.051495,1.000598
12.0679264064,-8.822744,0.046406,1.000560,0.058049,1.005785
12.9492584221,-9.007184,0.051039,1.000518,0.039490,1.000519
13.8949549437,-9.326454,0.048039,1.000485,0.037483,1.000485
14.9097165718,-9.446028,0.040419,1.000450,0.036763,1.000451
15.9985871961,-9.591523,0.036923,1.000419,0.031210,1.000419
17.1669790661,-9.869455,0.029723,1.000391,0.032558,1.000391
18.4206996933,-10.058421,0.031975,1.000364,0.031639,1.000364
19.7659807170,-10.247232,0.028384,1.000339,0.029919,1.000339
21.2095088792,-10.463872,0.023905,1.000316,0.026623,1.000316
22.7584592607,-10.609428,0.028928,1.000294,0.022254,1.000294
24.4205309455,-10.811099,0.022148,1.000274,0.020738,1.000274
26.2039852886,-11.005237,0.025965,1.000255,0.020326,1.000256
28.1176869797,-11.078079,0.020790,1.000238,0.019018,1.000238
30.1711481053,-11.435978,0.019642,1.000222,0.020660,1.000222
32.3745754282,-11.655071,0.017660,1.000206,0.018014,1.000207
34.7389211208,-11.841178,0.017266,1.000192,0.014868,1.000193
37.2759372031,-12.178646,0.015591,1.000179,0.014018,1.000179
39.9982339561,-12.194657,0.014103,1.000167,0.015047,1.000167
42.9193426013,-12.546732,0.014638,1.000156,0.012822,1.000156
46.0537825582,-12.770098,0.011838,1.000145,0.011932,1.000145
49.4171336132,-12.836770,0.011433,1.000135,0.011612,1.000135
53.0261133591,-13.026408,0.011513,1.000126,0.011650,1.000126
56.8986602902,-13.337044,0.009947,1.000117,0.011155,1.000117
61.0540229659,-13.518097,0.009463,1.000109,0.008245,1.000109
65.5128556860,-13.590639,0.008262,1.000102,0.009016,1.000102
70.2973211533,-13.922252,0.006860,1.000095,0.009110,1.000095
75.4312006335,-14.108496,0.007998,1.000088,0.007612,1.000088
80.9400121608,-14.344434,0.007083,1.000083,0.007600,1.000082
86.8511373751,-14.479458,0.006116,1.000077,0.007196,1.000077
93.1939576234,-14.769576,0.006143,1.000072,0.005862,1.000072
100.0000000000,-14.895003,0.005710,1.000067,0.007130,1.000067
